01DB METRAVIB|700258
MOORE PRODUCTS CO|00C082
MOOREDOLL INC|6CF5E8
MOPHIE LLC|E4C6E6
MOPRIA ALLIANCE|54FFCF
MORAM CO LTD|001459
MORE STAR INDUSTRIAL GROUP LIMITED|002372
MOREGA SYSTEMS|00221B
MORETON BAY|00D0CF
MORGAN STANLEY|00155E
MORIO DENKI CO LTD|64E892
MORION INC|102831
MORNING STAR TECHNOLOGIES INC|00C063
MORNINGSTAR CORPORATION|00255D
MORROW TECHNOLOGIES CORP|00B09A
MORSE MICRO|0CBF74
MORTARA INSTRUMENT INC|000F82
MOSAIC SYSTEMS INC|0005EC
MOSAIC TECHNOLOGIES INC|08002A
MOSART SEMICONDUCTOR CORP|001A72
MOSDAN INTERNATION CO LTD|001703
MOSER BAER AG|001691
MOST LUCKY TRADING LTD|201257
MOTAH LTD|000777
MOTECH INDUSTRIES INC|0017F8
MOTEX PRODUCTS CO LTD|000BF0
MOTIC INCOPORATION LTD|000E42
MOTION ANALYSIS CORPORATION|F0F669
MOTION CONTROL ENGINEERING INC|0008EA
MOTION CONTROL SYSTEMS INC|001231
MOTION REALITY INC|0012D5
MOTOROLA|000A2800E00C
MOTOROLA BROADBAND SOLUTIONS GROUP|002492
MOTOROLA BSG|002437
MOTOROLA COMMUNICATION ISRAEL|002075
MOTOROLA INC BUSINESS LIGHT RADIOS|482CEA
MOTOROLA KOREA|000EC7
MOTOROLA MOBILITY LLC A LENOVO COMPANY|00B8B604D39508AA5508CC270CCB850CEC8D141AA31430C61C56FE20B8682446C824DA9B3009C0304B073083D234BB263880DF38E39F40786A408805441C7F4480EB58D9C35C5188601D9160BEB56411A468871C68C44D6C976D8058F8806C1B84100D88797E88B4A68CF1129068C390735A9CD917A0465AA470D6A89675B07994B898ADBC1D89BC98DFBCFFEBC06B55C08C71C4A052C85895C8C750CC0DF2CC61E5CCC3EAD00401D07714D463C6D4C94BD8CFBFDCBFE9E0757DE09861E426D5E4907EE89120EC08E5EC8892F0D7AAF4F1E1F4F524F81F32F8CFC5F8E079F8F1B6FCD436
MOTOROLA SOLUTIONS INC|00047D001885001F924CCC34
MOTOROLA SOLUTIONS MALAYSIA SDN BHD|10746F
MOTOROLA WUHAN MOBILITY TECHNOLOGIES COMMUNICATION CO LTD|0434F60838E62CFDAB40A1084888CA54275864DB4378D6DC7C468584B8B894BE46980CA5D0F88CD8630DE01FFC
MOTUS GLOBAL INC|FC9AFA
MOVACOLOR B V|0012EC
MOVE INNOVATION|60BD91
MOVEK|746B82
MOVISTEC|0009C7
MOVITA TECHNOLOGIES INC|00028D
MOVON CORPORATION|00137B401920
MOXA TECHNOLOGIES CORP LTD|0090E8
MPB COMMUNICATIONS INC|6CFFBE
MPEDIA|002558
MPGIO CO LTD|8C60E7
MPHASE TECHNOLOGIES INC|00300B
MPI TECH|AC5135
MPL AG|0060C2
MPLS FORUM|000A70
MPLUS TECHNOLOGY|6032F0
MPMKVVCL|14DDE5
MPS SOFTWARE GMBH|00901C
MR D MANUFACTURING|E4EEFD
MRG SYSTEMS LTD|00501F
MRO TEK REALTY LIMITED|000CFF
MRS ELECTRONIC GMBH|E02CF3
MRT MICRO INC|00D0E2
MRV COMMUNICATION NETWORKS LTD|001669
MRV COMMUNICATIONS INC|00201A
MRV COMMUNICATIONS NETWORKS LTD|000FBD3CA72BA46032
MRV COMUNICATIONS|443708DC4D23
MS MAGNET|7CCD11
MS SEDCO|0C469D
MSA AUER|00212B
MSA INNOVATION|CC418E
MSC VERTRIEBS GMBH|0003050030D6
MSF VATHAUER ANTRIEBSTECHNIK GMBH CO KG|A8A5E2
MSI|001617
MSI TECHNOLOGY GMBH|001FCF
MST CORPORATION|14A9E3
MSTAR SEMICONDUCTOR|0014B9
MTA SPA|00268F
MTDATA DEVELOPMENTS PTY LTD|20F002
MTG CO LTD|743400
MTI|00A0F1
MTI CO LTD|0013CD
MTI LTD|44EE02
MTL INSTRUMENTS PLC|00090B
MTM TECHNOLOGY CORPORATION|B4AB2C
MTMCOMMUNICATIONS|880905
MTN ELECTRONIC CO LTD|24050F
MTS SYSTEMS CORP|0003CA
MTT CORPORATION|0011C9
MTU FRIEDRICHSHAFEN GMBH|000E21
MTX INC|000099
MU NET INC|000280
MUCO INDUSTRIE BV|000EEE
MUEHLBAUER AG|C8D429
MUELLER ELEKTRONIK GMBH CO KG|001EFF
MUELLER SYSTEMS|0C57EB
MULI MUWAI FURNITURE QIDONG CO LTD|149BD7
MULLER SERVICES|B0027E
MULOGIC BV|002455
MULTI TOUCH OY|C0A0DE
MULTIACCESS COMPUTING CORP|00C03B
MULTICOM INDUSTRIES LIMITED|001476
MULTIDATA GMBH|0030BF
MULTILASER INDUSTRIAL S A|745889
MULTILINK INC|001481
MULTIMEDIA COMMUNICATION TECHNOLOGY|00225C
MULTIMEDIA LANS INC|00A08C
MULTIMEDIA PACIFIC LIMITED|18F650
MULTIPLEX INC|000BC3
MULTIPOINT NETWORKS|0020A4
MULTITECH SYSTEMS INC|000800008000
MULTITEL|00D064
MULTITONE ELECTRONICS PLC|00082E
MULTIVISION INTELLIGENT SURVEILLANCE HONG KONG LTD|00151F
MULTIWARE IMAGE CO LTD|0008A6
MURATA MACHINERY LTD|005081
MURATA MANUFACTURING CO LTD|000E6D0013E00021E80026E800376D006057009D6B00AEFA04466504C4611098C310A5D0147DC51848CA1C70221C994C2002AF24CD8D2C4CC62CD1C640F30844916044A7CF48EB625026EF58D50A5CDAD45CF8A16021C060F1897074147087A7747A90784B8788308A8C450090B68698F1709C50D1A0C9A0A0CC2BA0CDF3A408EAB072BFB8D7AFC4AC59CCC079D01769D040EFD0E44AD44DA4D45383D81068D8C46ADCEFCADCFE23E84F25E8E8B7EC5C84F02765FCC2DEFCDBB3
MURRELEKTRONIK GMBH|000F9E
MUSASHI CO LTD|00079D
MUSASHI ENGINEERING CO LTD|0008D0
MUSCLE CORPORATION|001D3C
MUSIC LIFE LTD|7011AE
MUSICIANLINK|001CBB
MUSILAB ELECTRONICS DONGGUAN CO LTD|789966
MUSTEK SYSTEM INC|000D1A
MUTOH INDUSTRIES LTD|00A011
MUUSELABS NV SA|A8EEC6
MUXCOM INC|0003CF
MVOX TECHNOLOGIES INC|001AE5
MVTECH CO LTD|D0D471
MWE GMBH|000626
MWS|000AD1
MX IMAGING|0006A0
MXCHIP COMPANY LIMITED|C89346
MXT INDUSTRIAL LTDA|44348F
MY SOCIAL STUFF|CCE798
MYA TECHNOLOGY|000E18
MYCASA NETWORK INC|000984
MYCLOUD TECHNOLOGY CORPORATION|38458C
MYCO ELECTRONICS|00C057
MYENERGI LTD|2897B8
MYIDKEY|C46BB4
MYK INC|24CBE7
MYKOTRONX|001151
MYLIGHT SYSTEMS|F8DFE1
MYNAH TECHNOLOGIES|000EC1
MYREKA TECHNOLOGIES SDN BHD|44E8A5
MYRIAD LOGIC INC|00A05E
MYRICOM INC|0060DD
MYSON TECHNOLOGY INC|00C0B4
MYSPACE AB|0005BB
MYSTICOM LTD|009031
MYTECS CO LTD|00092A
MYTEK|001EE8
MYTHOLOGY TECH EXPRESS INC|001AE0
MYUNGMIN SYSTEMS INC|001BA5
MYWERK PORTAL GMBH|24C848
N A T GMBH|004042
N ITUS CO LTD|40C48C
N RADIO TECHNOLOGIES CO LTD|FC83C6
N V DZINE|00202A
N V PHILIPS INDUSTRIAL ACTIVITIES|00903E
N3 CORPORATION|001529
NABTESCO CORPORATION|DC05ED
NABTO|BCA4E1
NAC IMAGE TECHNOLOGY INC|000561
NAC INTERCOM|001D27
NACT|000442
NADAM CO LTD|001533
NADASNV|9C77AA
NADATEL CO LTD|000269
NADEX CO LTD|000660
NAEIL COMMUNITY|0014B0
NAGANO JAPAN RADIO CO LTD|000109
NAGANO KEIKI CO LTD|0827CE
NAGOYA ELECTRIC WORKS CO LTD|001024
NAGRAVISION SA|EC8EAE
NAGTECH LLC|8CAEDBF8F082
NAIN INC|F89066
NAITO DENSEI MACHIDA MFG CO LTD|001760
NAKAJIMA ALL PRECISION CO LTD|001FF7
NAKAYO INC|00D0EC480C498C3C4AB04B68C80739F49651
NALLATECH LTD|000CD7
NALTEC INC|0050AB
NAMAN NZ LTD|000CA5
NAMAQUA COMPUTERWARE|0020B7
NAMBOOSOLUTION|8C477F
NAMCO LIMITED|00902E
NAMJUNSA|A46191
NANCHANG BLACKSHARK CO LTD|043385
NANJING AOZHENG INFORMATION TECHNOLOGY CO LTD|DCE0EB
NANJING BAIHEZHENGLIU TECHNOLOGY CO LTD|44DB60
NANJING BANGZHONG ELECTRONIC COMMERCE LIMITED|E8C1B8
NANJING BESTWAY AUTOMATION SYSTEM CO LTD|74B91E
NANJING BIGFISH SEMICONDUCTOR CO LTD|B88DF1
NANJING CAS ZDC IOT SYSTEM CO LTD|B03850
NANJING CHAORAN SCIENCE TECHNOLOGY CO LTD|50CD32
NANJING COCOMM ELECTRONICS CO LTD|DC9A8E
NANJING DECOWELL AUTOMATION CO LTD|F8A4FB
NANJING DIANYAN ELECTRIC POWER AUTOMATION CO LTD|A4A179
NANJING FUJITSU COMPUTER PRODUCTS CO LTD|08E5DA
NANJING GLARUN ATTEN TECHNOLOGY CO LTD|A0DA92
NANJING HUAZHUO ELECTRONICS CO LTD|000CB7
NANJING IOT SENSOR TECHNOLOGY CO LTD|50294D
NANJING JIAHAO TECHNOLOGY CO LTD|4C4D6670FD8890275990C35F
NANJING JUPLINK INTELLIGENT TECHNOLOGIES CO LTD|8C0E60
NANJING KECHEN ELECTRIC CO LTD|F82E8E
NANJING MAXON O E TECH CO LTD|F463E7
NANJING NENGRUI AUTO EQUIPMENT CO LTD|B0B8D5
NANJING PANDA ELECTRONICS COMPANY LIMITED|00245A
NANJING PANENG TECHNOLOGY DEVELOPMENT CO LTD|E0AADB
NANJING POSTEL TELECOMMUNICATIONS CO LTD|00073D
NANJING POWERCORE TECH CO LTD|88AF7B
NANJING PUTIAN TELECOMMUNICATIONS TECHNOLOGY CO LTD|906FA9
NANJING QINHENG MICROELECTRONICS CO LTD|50547B5414A7
NANJING ROUSING SCI AND TECH INDUSTRIAL CO LTD|F4472A
NANJING SAC POWER GRID AUTOMATION CO LTD|20DF3F6C8366
NANJING SEU MOBILE INTERNET TECHNOLOGY CO LTD|000CB6
NANJING SHINING ELECTRIC AUTOMATION CO LTD|00B78D
NANJING SIGNWAY TECHNOLOGY CO LTD|0C63FC
NANJING SILVERNET SOFTWARE CO LTD|001BF1
NANJING TICOM TECH CO LTD|DC503A
NANJING YOUKUO ELECTRIC TECHNOLOGY CO LTD|38E8EE
NANJING YUFEI INTELLIGENT CONTROL TECHNOLOGY CO LTD|AC77B9
NANJING Z COM WIRELESS CO LTD|30493B
NANJING ZHONGKE MENGLIAN INFORMATION TECHNOLOGY CO LTD|70305E
NANJING ZTLINK NETWORK TECHNOLOGY CO LTD|D4772B
NANOLEAF|808AF7
NANOMATIC OY|00205D
NANOMEGAS|90179B
NANOMETRICS INC|001140
NANOPTIX INC|6CF97C
NANOTEC ELECTRONIC GMBH CO KG|44AAE8
NANOTEK ELEKTRONIK SISTEMLER LTD STI|A06E50
NANOTEQ|002380
NANOTRON TECHNOLOGIES GMBH|180B52
NANOWAVE TECHNOLOGIES INC|4CB44A
NANTONG COSHIP ELECTRONICS CO LTD|68DB676C8AEC
NANTWORKS|D8B8F6
NANWANG MULTIMEDIA INC LTD|00116C
NAPATECH APS|000DE9
NAPCO SECURITY TECHNOLOGIES|D4F0B4
NAPERA NETWORKS INC|001CFF
NARAD NETWORKS INC|00060F
NARAY INFORMATION COMMUNICATION ENTERPRISE|000504
NARAYON CO LTD|001367
NARI TECHNOLOGY CO LTD|1C0042
NASA GODDARD SPACE FLIGHT CENTER|000855
NASACO ELECTRONICS PTE LTD|000DE8
NASCENT NETWORKS CORPORATION|00A01C
NASCENT TECHNOLOGY|78192E
NASCENT TECHNOLOGY LLC REMKON|2C010B
NASHOBA NETWORKS|00A0EE
NASS MAGNET HUNG RIA KFT|94D86B
NASTEC LTD|707EDE
NAT SEATTLE INC|0016C9
NATA INFO LTD|E087B1
NATIONAL AMUSEMENT NETWORK INC|00E073
NATIONAL DATACAST INC|002157
NATIONAL DATACOMM CORPORATION|0080C6
NATIONAL DATACOMPUTER|000589
NATIONAL ENHANCE TECHNOLOGY INC|00056E
NATIONAL INSTRUMENTS CORP|00802F
NATIONAL NARROWBAND NETWORK COMMUNICATIONS PTY LTD|947EB9
NATIONAL OILWELL VARCO INSTRUMENTATION MONITORING AND OPTIMIZATION NOV IMO|C4C19F
NATIONAL PRODUCTS INC|DC052F
NATIONAL RADIO ASTRONOMY OBSERVATORY|000C69
NATIONAL RESOURCE MANAGEMENT INC|38F708
NATIONAL SEMICONDUCTOR|0800171000E8
NATIONAL SOURCE CODING CENTER|00220B
NATIONS TECHNOLOGIES INC|306F07
NATIONZ TECHNOLOGIES INC|78995C
NATIVE NETWORKS INC|00020B
NATURAL SECURITY SAS|F80F84
NATURALPOINT|002502
NATURE WORLDWIDE TECHNOLOGY CORP|000211
NAUTRONIX LIMITED|6C15F9
NAVAL RESEARCH LABORATORY|00099C
NAVCAST INC|00189D
NAVCOM TECHNOLOGY INC|0007E3
NAVDY INC|54EDA3
NAVER|90A62F
NAVIC SYSTEMS INC|005024
NAVICO AUCKLAND LTD|000E91
NAVIELEKTRO KY|78D5B5
NAVIGON AG|001B60
NAVIIT INC|40C7C9
NAVINI NETWORKS|00046A
NAVIONICS RESEARCH INC DBA SCADAMETRICS|001DC8
NAVIS AUTO MOTIVE SYSTEMS INC|0026B1
NAVIS INC|C47BA3
NAVMAN NEW ZEALAND|001B4E
NAVTECH PTE LTD|34A5B4
NAVTEL COMMUNICATIONS INC|00A0A9
NAWOO KOREA CORP|0025C1
NAYNA NETWORKS INC|00048C
NAZTEC INC|001352
NB SOFTWARE|B451F9
NBASE COMMUNICATIONS LTD|0090F7
NBI INC|080022
NBS PAYMENT SOLUTIONS INC|781185
NBS TECHNOLOGIES INC|0004FA
NBX CORPORATION|00E0BB
NC C|0088BA
NCI SYSTEM CO LTD|000E47
NCOMPUTING CO LTD|000FE0
NCR CORPORATION|08000E
NCS ELECTRICAL SDN BHD|487AF6
NCSE|245CBF
NCT DEUTSCHLAND GMBH|000D2D
NCTECH LTD|9CE10EE856D6
NCUBE|0040C9
NDC INFARED ENGINEERING|0002E2
NDC TECHNOLOGIES|F8DAE2
NDR CO LTD|000D4E
NDS LIMITED|000DF9
NDS SURGICAL IMAGING|0024F5
NEAT ELECTRONICS|002217
NEATFRAME AS|C463FB
NEBRA LTD|18A9A6
NEBULA CONSULTANTS INC|00A019
NEBULA INC|C8A620
NEBULA MATRIX|68BE49
NEBULON INC|F497C2
NEBUSENS S L|8821E3
NEC AMERICA INC|0090E4
NEC AUSTRALIA PTY LTD|002277
NEC CASIO MOBILE COMMUNICATIONS|100E2B38BF33
NEC CORPORATION|00004C00169700255C00301358C232743A658CDF9DD49234F8CA85
NEC DO BRASIL S A|009075
NEC ELUMINANT TECHNOLOGIES INC|000862
NEC MAGNUS COMMUNICATIONS LTD|0014790060DC
NEC PERSONAL COMPUTERS LTD|F46E24
NEC PERSONAL PRODUCTS|000D5E
NEC PERSONAL PRODUCTS LTD|FC6198
NEC PLATFORMS LTD|000D02001B8B003A9D0060B90810861066821CB17F549B496CE4DA8022A798F199A41242C025A2F8B797
NEC TOKIN CORPORATION|0015EF
NEC UNIFIED SOLUTIONS NEDERLAND B V|001827
NECMAGNUSCOMMUNICATIONS|CCB691
NECSOM LTD|000228
NECSY S P A|00E0C2
NECTARSOFT CO LTD|182CB4
NECTEC|0020C6
NEDAP N V|000DA0
NEETS|80BAE6
NEFF INSTRUMENT CORP|000B6E
NEGEN ACCESS INC|00026E
NEIGHBOR WORLD CO LTD|00013F
NEIHUA NETWORK TECHNOLOGY CO LTD NHN|001CB5
NELI TECHNOLOGIES|002576
NEMO Q INTERNATIONAL AB|002572
NEMOA ELECTRONICS HK CO LTD|142971
NEO INFORMATION SYSTEMS CO LTD|E85484
NEO MONITORS AS|D47B35
NEO NETWORKS INC|009070
NEO PHOTONICS|001506
NEO TELECOM|000728
NEOAXIOM CORP|000AF2
NEOKOROS BRASIL LTDA|001748
NEOLAB CONVERGENCE|9C7BD2
NEOLOGY|00173D
NEOMEDIA EUROPE AG|0011F3
NEOMERIDIAN SDN BHD|0012A0
NEOMONTANA ELECTRONICS|ECF236
NEON INC|7CE044
NEON TECHNOLOGY INC|0030EF
NEONODE AB|00186C
NEOPARADIGM LABS INC|00E08C
NEOPIS CO LTD|F8769B
NEOPOST TECHNOLOGIES|001B00
NEOPRODUCTS|002056
NEOSCALE SYSTEMS INC|0009D9
NEOSFAR|3C8970
NEOSMART CORP|000DCC
NEOSTAR TECHNOLOGY CO LTD|002432
NEOSYSTEM CO LTD|807D1B
NEOTECH|1C7370
NEOTION|00237C
NEOTUNE INFORMATION TECHNOLOGY CORPORATION LTD|00117F
NEOUSYS TECHNOLOGY INC|78D004
NEOVENTUS DESIGN GROUP|D46867
NEOVIA INC|00261C
NEOWAVE INC|0001C4
NEPHOS INC|38AC3D
NEPTUNE DIGITAL|001D01
NEPTUNE TECHNOLOGY GROUP INC|CC3ADF
NERA NETWORKS AS|0060C0
NERA TELECOMMUNICATIONS LTD|6CE3B6
NERGAL S R L|000C8F
NERO AG|709C8F
NES TECHNOLOGY INC|00249D
NESS CORPORATION|ACC935
NESSLAB|0026F4
NEST LABS INC|18B430641666
NESTAR COMMUNICATIONS INC|000A17
NESTAR SYSTEMS INCORPORATED|08000A
NESYS|B81999
NET COM SYSTEMS INC|0002DF
NET INSIGHT AB|00105B
NET NEW ELECTRONIC TECHNOLOGY GMBH|806CBC
NET ONE PARTNERS CO LTD|08F2F4
NET OPTICS|C8873B
NET RULES TECNOLOGIA EIRELI|485415
NET SOURCE INC|0040CE
NET SYS CO LTD|000200
NET TEK AND KARLNET INC|0020F6
NET VISION TELECOM|0002C2
NET2EDGE LIMITED|000D2C
NET2GRID BV|84DF0C
NET2NET CORPORATION|006015
NETAC TECHNOLOGY CO LTD|000E0B
NETACCESS INC|005091
NETAFIM L|98D3E7
NETALLY|00C017
NETAPP|0080E500A09800A0B8D039EA
NETAS|0009C3
NETATMO|70EE50
NETBERG|10BE99
NETBIND INC|000899
NETBOOST CORP|0090D7
NETBOTZ INC|0002D3
NETBURNER|0003F4
NETCAM LTD|005036
NETCARE SERVICE CO LTD|001A5B
NETCHIP TECHNOLOGY INC|00039B
NETCLEUS SYSTEMS CORPORATION|001DFB
NETCODEC CO|000E2C
NETCOM CO LTD|00058A
NETCOM RESEARCH INCORPORATED|0080CA
NETCOM SICHERHEITSTECHNIK GMBH|00905D
NETCOMM LIMITED|004028006064
NETCOMM WIRELESS|F8CA59
NETCOMM WIRELESS LIMITED|18F145
NETCONS S R O|001951
NETCONTROL OY|0009AB
NETCOR|0040F3
NETCORE INC|001092
NETCORE SYSTEMS INC|00902F
NETCORE TECHNOLOGY INC|007263048D3864EEB7E4BEED
NETCORP|00A008
NETCS INFORMATIONSTECHNIK GMBH|00A0AB
NETEFFECT INCORPORATED|001255
NETENABLED INC|0004A4
NETENGINES LTD|00078D
NETENRICH INC|0011D4
NETERIX LTD|44356F
NETEXCELL|0008BB
NETEXPRESS|00C021
NETEZZA|000672
NETFABRIC CORPORATION|00121D
NETFLIX INC|001DF2
NETFORYOU CO LTD|00116F
NETGEAR|00095B000FB500146C00184D001B2F001E2A001F3300223F0024B20026F2008EF204A15108028E0836C908BD43100C6B100D7F10DA431459C0200CC8204E7F20E52A28808828C68E2C30332CB05D30469A3498B53894ED3C3786405D824494FC44A56E4C60DE504A6E506A0354077D6CB0CE6CCDD674440178D29480377380CC9C841B5E8C3BAD94186594A67E9C3DCF9CC9EB9CD36DA00460A021B7A040A0A06391A42B8CB03956B07FB9B0B98ABCA511C03F0EC0FFD4C40415C43DC7C89E43CC40D0DCEF09E0469AE046EEE091F5E4F4C6E8FCAFF87394
NETGEM|000430
NETGENETECH CO LTD|D8C068
NETHESIS SRL|E0E656
NETHRA IMAGING INCORPORATED|50252B
NETICS INC|0060FD
NETILITY|0003BE
NETINT TECHNOLOGIES INC|E82E0C
NETIO TECHNOLOGIES CO LTD|001BEC
NETIVERSE INC|0030A9
NETIX GLOBAL B V|D477B2
NETKIT SOLUTIONS LLC|0003B8
NETKLASS TECHNOLOGY INC|000EA0
NETKTI CO LTD|90AFD1
NETLINE|00109A
NETLINK ICT|8CC7C3
NETLINKS CO LTD|00018B
NETLIST INC|A80577
NETLOGIC AB|18B3BA
NETMAN CO LTD|440CFD
NETMEDIA INC|000375
NETMODULE AG|00112B
NETMOON TECHNOLOGY CO LTD|882950
NETMOUNT|0004C7
NETNEARU CORPORATION|000685
NETONIX|EC13B2
NETOUS TECHNOLOGIES LTD|00042E
NETPLAT INC|00110F
NETPOWER CO LTD|000797
NETPOWER INC|00A004
NETQUEST CORPORATION|00201E
NETRAKE AN AUDIOCODES COMPANY|0005E7
NETRIX|00C013
NETRO CORP|006040
NETRONICS TECHNOLOGIES INC|808698
NETRONIX|000014
NETRONIX INC|00085400E07D
NETRONOME SYSTEMS INC|00154D
NETS TECHNOLOGY CO LTD|000537
NETSCHOOLS CORPORATION|00103E
NETSCOUT SYSTEMS INC|00808C00A00E049F81D8E72B
NETSEC|0002DB
NETSENSITY INC|0001B8
NETSNAPPER TECHNOLOGIES SARL|0013EC
NETSPAN CORPORATION|00C012
NETSPECT TECHNOLOGIES INC|000116
NETSPEED INC|00E0D0
NETSTAL MASCHINEN AG|006013
NETSTAR|000F38
NETSTAR INC|00C080
NETSTOR TECHNOLOGY CO LTD|2C3BFD
NETSTREAMS LLC|001161
NETSYS TELECOM|0007C2
NETTALK COM INC|0025F6
NETTRIX INFORMATION INDUSTRY CO LTD|541159
NETUP INC|002420
NETURITY TECHNOLOGIES INC|001366
NETVANTAGE|00C0BA
NETVIEW TECHNOLOGIES SHENZHEN CO LTD|940B2D
NETVISION CORPORATION|0060C3
NETVOX TECHNOLOGY CO LTD|00137A
NETWIZ|00C02E
NETWORK ALCHEMY INC|00505A
NETWORK APPLICATION TECHNOLOGY|0000A3
NETWORK AUTOMATION MXC AB|001B40
NETWORK CHEMISTRY INC|00185B
NETWORK COMMUNICATIONS CORP|00C0F3
NETWORK COMPUTING DEVICES|0090FC
NETWORK COMPUTING DEVICES INC|0000A7
NETWORK CONTROLS INT NATL INC|0040ED
NETWORK CRITICAL SOLUTIONS LTD|001DFF
NETWORK DESIGNERS LTD|0000EE
NETWORK DEVICES PTY LTD|5C81A7
NETWORK ELECTRONICS|000D39
NETWORK ELEMENTS INC|00021C
NETWORK ENGINES INC|00D0A8
NETWORK EQUIPMENT TECHNOLOGIES|0010230080B2
NETWORK EQUIPMENT TECHNOLOGIES INC|0030E1
NETWORK EXPRESS INC|00409A
NETWORK GENERAL CORPORATION|0000650000A6
NETWORK INFORMATION TECHNOLOGY|00C08E
NETWORK INSTRUMENTS|082CB0
NETWORK INTERFACE CORPORATION|008060
NETWORK MACHINES INC|006010
NETWORK PERIPHERALS INC|0080D8
NETWORK PERIPHERALS LTD|00C054
NETWORK PHOTONICS INC|00050C
NETWORK PRODUCTS|008020
NETWORK PRODUCTS CORPORATION|008026
NETWORK RESEARCH CORPORATION|08008C
NETWORK RESOURCES CORPORATION|000034
NETWORK SECURITY SYSTEMS INC|00204E
NETWORK SERVICES GROUP|00A067
NETWORK SUPPLY CORP|001FDB
NETWORK SYSTEMS CORP|0000A9
NETWORK SYSTEMS GROUP LTD NSG|000956
NETWORK SYSTEMS TECHNOLOGIES PVT LTD|00102E
NETWORK TECHNOLOGIES INC|000C82
NETWORK TOOLS INC|006056
NETWORK VIDEO TECHNOLOGIES INC|74B00C
NETWORKACCOUNTANT INC|D8B6C1
NETWORKED ENERGY SERVICES|005979
NETWORKS NORTHWEST INC|00C05B
NETWORLD INC|008043
NETWORTH INCORPORATED|000079
NETWORTH TECHNOLOGIES INC|00B0F5
NETZERVER INC|0007C0
NETZIN TECHNOLOGY CORPORATION LTD|00E6E8
NEUBERGER GEB UDEAUTOMATION GMBH|D0A311
NEUE ELSA GMBH|000B9F
NEUL LTD|C8A1BA
NEULION INCORPORATED|00172F
NEURAL IMAGE CO LTD|001B31
NEURALINK CORP|80A796
NEURO TELECOM CO LTD|0007DA
NEUROCOM INTERNATIONAL INC|000CE4
NEURON COMPANY LIMITED|002043
NEURON ROBOTICS|74F726
NEURONNET CO LTD R D CENTER|00068A
NEUROS TECHNOLOGY INTERNATIONAL LLC|001811
NEVATEC|00FD4C
NEVIS NETWORKS INC|001575
NEVRO|38AFD0
NEW BUSINESS DIVISION RHEA INFORMATION CO LTD|001C80
NEW CONCEPTS DEVELOPMENT CORP|0023A4
NEW COSMOS ELECTRIC CO LTD|7CD9FE
NEW FOCUS INC|000528
NEW H3C INTELLIGENCE TERMINAL CO LTD|109F4F34CA81
NEW H3C TECHNOLOGIES CO LTD|00BED500DDB60440A904D7A5083A3808688D0C3AFA10196514517E1CAB3428E424305F77307BAC30809B30B03730C6D7346B5B38A91C38AD8E38ADBE3CD2E53CF5CC4077A940FE95441AFA48739748BD3D4CE9E45098B8542BDE54C6FF58B38F58C7AC5CA7215CC99960DB15642FC76893206CE5F7703AA67057BF70C6DD743A2074504E7485C474D6CB74EAC874EACB782C2978AA827C1E067C7A3C7CDE7880616C80E455846569882A5E88DF9E8C946A9023B4905D7C90E71090F7B294282E94292F943BB098204498A92D98F1819C54C29CE895A069D9A4FA76A8C98AB04414B845F4BC2247BCD0EBC4C063DCDA80E878EEECDA59F01090F47488F4E975FC609B
NEW LEVEL TELECOM CO LTD|001C83
NEW LIFT NEUE ELEKTRONISCHE WEGE STEUERUNGSBAU GMBH|1C35F1
NEW LIGHT LED|6405BE
NEW MEDIA CORPORATION|00C015
NEW MEDIA LIFE|0019BD
NEW PLATFORMS|5C83CD
NEW PLATFORMS LLC|00B881
NEW POS TECHNOLOGY LIMITED|00257E18B6F7
NEW RYATEK|C4BCD7
NEW SINGULARITY INTERNATIONAL TECHNICAL DEVELOPMENT CO LTD|5CE7BF
NEW SOL COM|002720
NEW SPIN GOLF LLC|DCA8CF
NEW VOICE INTERNATIONAL AG|0018B8
NEW WAVE DESIGN VERIFICATION|001A86
NEW YORK AIR BRAKE CORP|000E75
NEWAG SA|807693
NEWBEST DEVELOPMENT LIMITED|000D42
NEWBRIDGE TECHNOLOGIES INT LTD|604826
NEWBURY NETWORKS INC|001C6E
NEWCOTECH LTD|000EB1
NEWER TECHNOLOGY|00507E
NEWGEN SYSTEMS CORP|004099
NEWINGS COMMUNICATION CO LTD|702DD1
NEWISYS INC|00093D
NEWLAND DESIGN ASSOC INC|909DE0
NEWPORT CORPORATION|58ECE1
NEWPORT MEDIA INC|F8F005
NEWPORT NETWORKS|000981
NEWPORT SYSTEMS SOLUTIONS|00801C
NEWRADIO TECHNOLOGIES CO LTD|44E2F1
NEWRUN|848336
NEWSEASON|84F117
NEWSHARP TECHNOLOGY SUZHOU CO LTD|C8F9C8
NEWSOFT TECHNOLOGY CORPORATION|001573
NEWTEC|000639
NEWTECH CO LTD|000B5C
NEWTEK ELECTRONICS CO LTD|4C3910
NEX G SYSTEMS PTE LTD|000FF1
NEX T LLC|28EBA6
NEXANS DEUTSCHLAND GMBH ANS|00C029
NEXAR LTD|C4F122
NEXCOM INTERNATIONAL CO LTD|0010F3
NEXCOMM SYSTEMS INC|00D084
NEXCONTROL CO LTD|6CED51
NEXELL|A45F9B
NEXFI|94D6DB
NEXG|001F14
NEXGEN CITY LP|000E34
NEXGEN MEDIATECH INC|24AF54
NEXGEN STORAGE|F49461
NEXO COMMUNICATIONS INC|005000
